team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,fGTotalAtt,fGTotal50PlusAtt,fGTotal50PlusMade,fGTotalLongest,fGTotalMade,fGAvgCompPct,kickoffTotalAtt,kickoffTotalTBs,xPTotalAtt,xPTotalMade,xPAvgCompPct
49ers,SF,14,,K,553387836,Jake Moody,3,0,2318,4,1,0.00,0,0,0,0,0,0.00,0,0,3,3,100.00
49ers,SF,14,,P,553386913,Blake Gillikin,6,0,878,12,1,0.00,0,0,0,0,0,0.00,4,1,0,0,0.00
Bears,CHI,0,,K,553388325,Cairo Santos,12,0,6576,8,2,0.00,3,1,0,0,0,0.00,10,1,6,4,66.67
Bengals,CIN,1,,K,553387767,Evan McPherson,5,0,1601,2,1,6.00,3,1,0,42,2,66.67,7,0,4,4,100.00
Bills,BUF,2,,K,553386148,Tyler Bass,6,0,85,2,1,3.00,1,0,0,37,1,100.00,6,0,4,4,100.00
Broncos,DEN,3,,K,553387628,Wil Lutz,10,0,8374,3,1,6.00,2,0,0,33,2,100.00,6,3,5,5,100.00
Browns,CLE,4,,K,553388104,Eddy Pineiro,8,0,9024,7,1,3.00,2,0,0,30,1,50.00,6,1,3,3,100.00
Buccaneers,TB,5,,K,553387748,Chase McLaughlin,7,0,455,4,1,0.00,1,1,0,0,0,0.00,3,0,1,1,100.00
Cardinals,ARI,6,,K,553386819,Nick Folk,18,0,1128,15,2,0.00,1,1,0,0,0,0.00,3,1,1,1,100.00
Chargers,LAC,7,,K,553386635,Cameron Dicker,4,0,1359,11,2,3.00,2,1,0,36,1,50.00,7,4,4,4,100.00
Chiefs,KC,8,,K,553386370,Harrison Butker,9,0,8498,7,1,0.00,0,0,0,0,0,0.00,2,0,1,1,100.00
Colts,IND,9,,K,553388385,Spencer Shrader,2,0,10964,3,1,3.00,1,0,0,35,1,100.00,0,0,6,6,100.00
Colts,IND,9,,P,553388317,Rigoberto Sanchez,9,0,9282,8,1,0.00,0,0,0,0,0,0.00,8,1,0,0,0.00
Commanders,WAS,25,,K,553386895,Matt Gay,7,0,9469,16,1,0.00,0,0,0,0,0,0.00,3,3,2,2,100.00
Cowboys,DAL,10,,K,553386084,Brandon Aubrey,4,0,10362,17,2,6.00,3,1,0,32,2,66.67,13,8,9,9,100.00
Dolphins,MIA,11,,K,553388277,John Parker Romo,3,0,10436,37,1,3.00,2,1,0,29,1,50.00,0,0,0,0,0.00
Dolphins,MIA,11,,P,553386105,Jake Bailey,7,0,9373,16,2,0.00,1,0,0,28,1,100.00,7,2,3,3,100.00
Eagles,PHI,12,,K,553386730,Jake Elliott,9,0,8542,4,1,0.00,2,0,0,43,2,100.00,4,4,2,2,100.00
Falcons,ATL,13,,K,553387497,Younghoe Koo,9,0,9837,6,1,9.00,3,0,0,41,3,100.00,7,2,3,3,100.00
Giants,NYG,15,,P,553388523,Ryan Stonehouse,4,0,5015,4,2,0.00,0,0,0,0,0,0.00,11,7,0,0,0.00
Giants,NYG,15,,K,553388419,Joey Slye,7,0,577,9,2,3.00,1,0,0,17,1,100.00,0,0,9,9,100.00
Jaguars,JAX,16,,K,553387587,Cam Little,2,0,10159,39,2,3.00,2,0,0,47,1,50.00,0,0,7,6,85.71
Jaguars,JAX,16,,P,553386506,Logan Cooke,8,0,9331,9,2,0.00,0,0,0,0,0,0.00,11,0,0,0,0.00
Jets,NYJ,17,,K,553388304,Chad Ryland,3,0,2379,12,1,3.00,2,1,0,41,1,50.00,0,0,1,1,100.00
Jets,NYJ,17,,P,553386065,Bryan Anger,14,0,5023,2,1,0.00,0,0,0,0,0,0.00,6,0,0,0,0.00
Lions,DET,18,,K,553386154,Jake Bates,3,0,10871,39,1,0.00,0,0,0,0,0,0.00,6,0,5,5,100.00
Packers,GB,19,,K,553388319,Jason Sanders,8,0,9349,2,2,3.00,1,0,0,45,1,100.00,0,0,3,2,66.67
Packers,GB,19,,P,553388105,Bradley Pinion,11,0,7281,12,2,0.00,0,0,0,0,0,0.00,9,6,0,0,0.00
Panthers,CAR,20,,K,553388688,Maddux Trujillo,1,0,10979,48,1,3.00,2,0,0,23,1,50.00,5,0,2,2,100.00
Patriots,NE,21,,K,553386240,Andres Borregales,1,0,10793,36,1,3.00,2,1,0,39,1,50.00,0,0,4,4,100.00
Patriots,NE,21,,P,553386124,Bryce Baringer,3,0,2645,17,1,0.00,0,0,0,0,0,0.00,6,0,0,0,0.00
Raiders,LV,22,,P,553386479,A.J. Cole,7,0,220,6,1,0.00,0,0,0,0,0,0.00,6,0,0,0,0.00
Raiders,LV,22,,K,553386406,Daniel Carlson,8,0,8838,8,1,0.00,0,0,0,0,0,0.00,0,0,5,5,100.00
Rams,LAR,23,,K,553387445,Joshua Karty,2,0,10138,16,2,0.00,1,1,0,0,0,0.00,0,0,4,4,100.00
Rams,LAR,23,,P,553386755,Ethan Evans,3,0,3146,42,2,0.00,0,0,0,0,0,0.00,6,1,0,0,0.00
Ravens,BAL,24,,K,553387607,Tyler Loop,1,0,10638,33,2,0.00,0,0,0,0,0,0.00,0,0,10,10,100.00
Ravens,BAL,24,,P,553388524,Jordan Stout,4,0,1957,11,2,0.00,0,0,0,0,0,0.00,12,10,0,0,0.00
Saints,NO,26,,K,553386985,Blake Grupe,3,0,4804,19,2,6.00,3,1,0,34,2,66.67,6,0,6,6,100.00
Seahawks,SEA,27,,P,553386638,Michael Dickson,8,0,8870,4,1,0.00,0,0,0,0,0,0.00,7,7,0,0,0.00
Seahawks,SEA,27,,K,553387904,Jason Myers,11,0,7773,5,1,13.00,3,2,2,51,3,100.00,0,0,3,3,100.00
Steelers,PIT,28,,K,553386244,Chris Boswell,12,0,6353,9,1,3.00,1,0,0,46,1,100.00,6,0,4,4,100.00
Texans,HOU,31,,K,553386770,Ka'imi Fairbairn,10,0,8000,15,2,3.00,1,0,0,29,1,100.00,11,0,8,8,100.00
Titans,TEN,29,,K,553388327,Gabe Donahue,0,0,3771,12,1,0.00,0,0,0,0,0,0.00,0,0,3,3,100.00
Titans,TEN,29,,K,553389002,Cade York,4,0,2063,13,1,0.00,0,0,0,0,0,0.00,4,1,0,0,0.00
Vikings,MIN,30,,K,553388193,Will Reichard,2,0,10224,16,1,3.00,2,0,0,37,1,50.00,4,3,2,2,100.00
