team,conference,W,L,remaining_games,sos_avg,sos_sum,past_sos_avg,total_sos
Chiefs,AFC,4,8,5,0.6561,3.2803,0.5405,9.7669
Steelers,AFC,5,7,5,0.6333,3.1667,0.4233,8.2465
Jaguars,AFC,5,7,5,0.5258,2.6288,0.4628,8.183
Dolphins,AFC,5,7,5,0.5038,2.5192,0.4998,8.5163
Jets,AFC,4,8,5,0.5038,2.5192,0.5743,9.4103
Chargers,AFC,6,6,5,0.4924,2.4621,0.5393,8.9336
Raiders,AFC,8,4,5,0.4822,2.4108,0.5483,8.9907
Titans,AFC,10,2,5,0.4744,2.3718,0.4618,7.9138
Browns,AFC,5,7,5,0.4742,2.3712,0.5465,8.9289
Patriots,AFC,10,3,4,0.4583,1.8333,0.5247,8.6538
Ravens,AFC,10,2,5,0.4538,2.2692,0.4085,7.1707
Colts,AFC,3,8,6,0.4471,2.6824,0.5455,8.6824
Broncos,AFC,11,1,5,0.4333,2.1667,0.4736,7.8502
Bills,AFC,3,9,5,0.4235,2.1177,0.5282,8.4557
Bengals,AFC,5,7,5,0.3833,1.9167,0.5256,8.2238
Texans,AFC,4,7,6,0.3409,2.0455,0.602,8.6672
Packers,NFC,3,9,5,0.6152,3.0758,0.4585,8.5781
Panthers,NFC,7,6,4,0.6042,2.4167,0.466,8.4744
Saints,NFC,8,4,5,0.591,2.9551,0.4861,8.7879
Buccaneers,NFC,7,5,5,0.5654,2.8269,0.453,8.2634
Giants,NFC,8,5,4,0.5625,2.25,0.5097,8.8759
Cowboys,NFC,8,4,5,0.5397,2.6987,0.4143,7.6707
Vikings,NFC,5,7,5,0.5397,2.6987,0.4867,8.5396
49ers,NFC,7,6,4,0.536,2.1439,0.4372,7.8281
Seahawks,NFC,7,5,5,0.4866,2.433,0.4293,7.5851
Eagles,NFC,2,9,6,0.4785,2.8712,0.5589,9.0186
Lions,NFC,8,4,5,0.4742,2.3712,0.4376,7.623
Cardinals,NFC,0,12,5,0.4561,2.2803,0.5393,8.7517
Falcons,NFC,8,4,5,0.45,2.25,0.4853,8.074
Commanders,NFC,6,6,5,0.4125,2.0624,0.5614,8.799
Bears,NFC,5,6,6,0.3839,2.3036,0.5711,8.5857
Rams,NFC,5,7,5,0.3833,1.9167,0.5292,8.2669
