rookieYear,fullName,team,position,playerBestOvr,devTrait,draftRound,draftPick,college
2026,Jaxon Reed,Bears,QB,79,3,1,3,Ohio State
2026,Mason Carter,Patriots,WR,76,2,1,12,Alabama
2026,Tyrell Brooks,Rams,CB,74,1,1,24,LSU
2026,Evan Watts,Seahawks,LT,72,0,1,29,Oregon
2026,Caleb Knox,49ers,DE,73,2,2,6,Georgia
2026,Ramon Ortega,Giants,HB,71,0,2,15,Texas
2026,Logan Pierce,Eagles,TE,72,1,2,27,Iowa
2026,Dominic Hale,Cowboys,MLB,70,0,3,5,Penn State
2026,Nate Jennings,Chiefs,FS,73,2,3,18,Clemson
2026,Micah Douglas,Packers,RT,71,1,3,31,Wisconsin
2026,Quincy Burke,Bills,K,67,0,4,4,Florida State
2026,Aiden Romero,Ravens,WR,75,3,4,22,USC
